CountryName,year_week_W,indicator,value,value_level,trend
Slovakia,2023-W44,Death rate,0.4,1,stable
Slovakia,2023-W44,Hospital admissions,2.1,1,decreasing
Slovakia,2023-W44,ICU admissions,0,1,stable
Slovakia,2023-W44,65+yr,65.4,3,stable
Slovenia,2023-W44,Case rate,46.5,2,stable
Slovenia,2023-W44,Positivity (%),16.1,4,stable
Slovenia,2023-W44,Testing rate,120.2,4,stable
Slovenia,2023-W44,Death rate,4.3,1,decreasing
Slovenia,2023-W44,65+yr,127.9,3,stable
Sweden,2023-W44,Case rate,45.2,2,increasing
Sweden,2023-W44,Positivity (%),31,4,increasing
Sweden,2023-W44,Testing rate,84.4,4,stable
Sweden,2023-W44,Death rate,7,1,decreasing
Sweden,2023-W44,ICU admissions,0.2,1,increasing
Sweden,2023-W44,65+yr,174.8,4,increasing
